file,dataset,model,strategy,seed,rounds,n_clients,loss,compressor,tag,k_slow,k_med,private_head,schedule,dp_sigma,dp_epsilon,fed_auroc_final,fed_auroc_best,fed_auroc_best_round,fed_auroc_ppd,fed_auroc_auc_curve,fed_auroc_last10_mean,fed_auroc_earlystop_value,fed_auroc_earlystop_round,fed_auprc_final,fed_auprc_best,fed_auprc_best_round,fed_auprc_ppd,fed_auprc_auc_curve,fed_auprc_last10_mean,fed_auprc_earlystop_value,fed_auprc_earlystop_round,fed_f1_final,fed_f1_best,fed_f1_best_round,fed_f1_ppd,fed_f1_auc_curve,fed_f1_last10_mean,fed_f1_earlystop_value,fed_f1_earlystop_round,fed_f1_best_final,fed_f1_best_best,fed_f1_best_best_round,fed_f1_best_ppd,fed_f1_best_auc_curve,fed_f1_best_last10_mean,fed_f1_best_earlystop_value,fed_f1_best_earlystop_round,fed_ece_final,fed_ece_best,fed_ece_best_round,fed_ece_ppd,fed_ece_auc_curve,fed_ece_last10_mean,fed_ece_earlystop_value,fed_ece_earlystop_round,global_auroc_final,global_auroc_best,global_auroc_best_round,global_auroc_ppd,global_auroc_auc_curve,global_auroc_last10_mean,global_auroc_earlystop_value,global_auroc_earlystop_round,global_auprc_final,global_auprc_best,global_auprc_best_round,global_auprc_ppd,global_auprc_auc_curve,global_auprc_last10_mean,global_auprc_earlystop_value,global_auprc_earlystop_round,global_f1_final,global_f1_best,global_f1_best_round,global_f1_ppd,global_f1_auc_curve,global_f1_last10_mean,global_f1_earlystop_value,global_f1_earlystop_round,total_upload_mb,total_download_mb,divergence_slow_mean,divergence_slow_final,divergence_medium_mean,divergence_medium_final,divergence_total_mean,divergence_total_final,dispersion_abs_mean,dispersion_abs_final,divergence_fast_mean,divergence_fast_final
diabetes_resnet_fedavg_R60_C20_s42_architecture_resnet_fedavg_summary.json,diabetes,resnet,fedavg,42,60.0,20,weighted_ce,none,_architecture_resnet_fedavg,,,,,1.0,inf,0.720274036394385,0.728306569806331,59.0,0.008032533411945986,0.6911255755941049,0.7225860290515332,0.728306569806331,59.0,0.29561875309477614,0.30907166144378806,59.0,0.013452908349011916,0.2607623794839114,0.3007479875635076,0.30907166144378806,59.0,0.2977118364066714,0.3172437147268381,59.0,0.019531878320166673,0.28765101243966235,0.30244649607642693,0.2998719051030487,38.0,0.34659121982856383,0.34955564985341625,59.0,0.002964430024852416,0.3171779143088342,0.34550334083166406,0.34955564985341625,59.0,0.33861715132285014,0.36511566470614437,1.0,0.02649851338329423,0.32657252896333844,0.32450983756833973,0.36511566470614437,1.0,0.64173984544798,0.6668135245341029,6.0,0.025073679086122902,0.6571955523504813,0.6441530887036914,0.6668135245341029,6.0,0.19558299733534246,0.21916882958814232,2.0,0.023585832252799865,0.21032537121914835,0.19845704290294247,0.21916882958814232,2.0,0.26523871484335904,0.28038472748469834,10.0,0.015146012641339301,0.27348631537055224,0.2688850994014863,0.28038472748469834,10.0,1373.1936,1373.1936,0.0023138894319521897,0.0009692792749469048,0.0026573346924195075,0.0029215534976114116,0.0025150126014799336,0.002611746521330084,5.705999466926481,9.491317582613647,0.006460679279144478,0.007766149115577306
diabetes_resnet_fedavg_R60_C20_s43_architecture_resnet_fedavg_summary.json,diabetes,resnet,fedavg,43,60.0,20,weighted_ce,none,_architecture_resnet_fedavg,,,,,1.0,inf,0.7442279515396653,0.7442279515396653,60.0,0.0,0.7007731005362419,0.7364458568454327,0.7442279515396653,60.0,0.318595892700206,0.318595892700206,60.0,0.0,0.2596587270122994,0.3077928143634273,0.318595892700206,60.0,0.3074621668655341,0.3134633927295144,58.0,0.006001225863980275,0.2900042372261604,0.30720698536093327,0.3134633927295144,58.0,0.36530422244095856,0.36530422244095856,60.0,0.0,0.32347944479846064,0.358300319588153,0.36530422244095856,60.0,0.3305212000091196,0.36741213170582293,2.0,0.03689093169670332,0.3330749495712069,0.32911497634326636,0.36741213170582293,2.0,0.6419566372268243,0.6684192519834031,22.0,0.02646261475657885,0.6602460768447773,0.6456019655754484,0.6683085532695865,11.0,0.20290023915940067,0.22557365298197066,26.0,0.022673413822569988,0.21572739260903895,0.20461387439861892,0.2221678189596412,4.0,0.2647754137115839,0.2807480220570607,22.0,0.015972608345476758,0.2733592659851904,0.2661012620923935,0.2807480220570607,22.0,1373.1936,1373.1936,0.002210193914856274,0.0008412155565068622,0.0026147446000303336,0.0028489569918494053,0.00248567054088992,0.0025524608421603843,5.662549488391068,9.377633712548231,0.006529010306078619,0.006901037495891983
diabetes_resnet_fedavg_R60_C20_s44_architecture_resnet_fedavg_summary.json,diabetes,resnet,fedavg,44,60.0,20,weighted_ce,none,_architecture_resnet_fedavg,,,,,1.0,inf,0.7282143881022108,0.7311869940373706,58.0,0.0029726059351598,0.6921492623397447,0.7267259957580317,0.7311869940373706,58.0,0.3122262873006847,0.32459548012388134,59.0,0.01236919282319665,0.26833671256288355,0.3145076042780586,0.32459548012388134,59.0,0.3042392597136861,0.3136401078966067,58.0,0.009400848182920585,0.2863908179621363,0.3055655426925748,0.3136401078966067,58.0,0.35218675731127036,0.35691453142202134,59.0,0.004727774110750982,0.3180423275917528,0.3497622724137304,0.35691453142202134,59.0,0.33413306341518556,0.360632546046068,56.0,0.02649948263088242,0.3301945922010032,0.32463269683974627,0.35844220254812975,2.0,0.6420124069903659,0.6636200780987521,6.0,0.02160767110838624,0.654914302973248,0.644505338009694,0.6636200780987521,6.0,0.19781427699622606,0.22085838050256504,9.0,0.02304410350633898,0.21366391385529876,0.20632587914814,0.22085838050256504,9.0,0.2622388210356314,0.2849426063470628,8.0,0.022703785311431413,0.2726524070317305,0.26515201232703545,0.2849426063470628,8.0,1373.1936,1373.1936,0.002220396949786509,0.0008530462309669468,0.002688740135715251,0.00352013952235915,0.002535179852744038,0.0030937044672212657,5.713693271455972,11.152751222390634,0.005869509215388254,0.0075217842498424186
diabetes_resnet_fedper_R60_C20_s42_architecture_resnet_fedper_summary.json,diabetes,resnet,fedper,42,60.0,20,weighted_ce,none,_architecture_resnet_fedper,,,,,1.0,inf,0.7501525131754678,0.7517182084140852,59.0,0.0015656952386173817,0.6975838184221865,0.7436870299579,0.7517182084140852,59.0,0.33414994647541535,0.337836121378806,59.0,0.0036861749033906266,0.2701116097239732,0.32760624989058545,0.337836121378806,59.0,0.32826813535035726,0.33291436034923005,59.0,0.004646224998872794,0.2900593761279834,0.31923285447120003,0.33291436034923005,59.0,0.3729373805989469,0.3755429148989225,59.0,0.0026055342999756204,0.3238720880025887,0.3657335365946362,0.3755429148989225,59.0,0.32394489784756547,0.3816885784144578,1.0,0.05774368056689233,0.3321690893024709,0.32611348025104014,0.3816885784144578,1.0,0.6371336570322182,0.6552194500037121,12.0,0.01808579297149382,0.611569377836835,0.6362566812653603,0.6552194500037121,12.0,0.18409654060209568,0.20561012817041144,38.0,0.021513587568315756,0.17477879127480722,0.1794123844562015,0.20281257226860494,12.0,0.24335238095238096,0.25552689756816505,52.0,0.012174516615784087,0.22481069505754908,0.24684223663027152,0.2045002711006687,1.0,1371.9552,1371.9552,0.002204974179310379,0.0008518136441766935,0.0028575805026964636,0.002771661146406549,0.0026785957419154316,0.002467427512355158,5.950399280419273,8.85574266751064,,
diabetes_resnet_fedper_R60_C20_s43_architecture_resnet_fedper_summary.json,diabetes,resnet,fedper,43,60.0,20,weighted_ce,none,_architecture_resnet_fedper,,,,,1.0,inf,0.7537125648426916,0.7537125648426916,60.0,0.0,0.7012301621398009,0.7444319234016974,0.7537125648426916,60.0,0.33787545097144356,0.33787545097144356,60.0,0.0,0.26351262861951463,0.3219389891344868,0.33787545097144356,60.0,0.32400878803197397,0.32400878803197397,60.0,0.0,0.28734068836468046,0.3160153003426439,0.32400878803197397,60.0,0.36905540241440893,0.3695942715690366,59.0,0.0005388691546276969,0.32320129963560174,0.3596352967261644,0.3695942715690366,59.0,0.3184812463223724,0.3574134547585843,5.0,0.038932208436211924,0.33569227804366886,0.3263597040652016,0.3574134547585843,5.0,0.3722307564071602,0.5266832215687528,1.0,0.1544524651615926,0.35173866316413144,0.3681662550362832,0.5266832215687528,1.0,0.08675330821740815,0.12110349799337318,1.0,0.03435018977596503,0.08334400055778539,0.08641507472501783,0.12110349799337318,1.0,0.12113030957523398,0.20350654645947538,2.0,0.08237623688424141,0.13041125769001335,0.11870384652150283,0.20350654645947538,2.0,1371.9552,1371.9552,0.0021221423277957147,0.0007342633236983551,0.0028395785052738004,0.0029957384079113535,0.002660867893609462,0.0026405819971264412,5.823200503463401,9.308261753350962,,
diabetes_resnet_fedper_R60_C20_s44_architecture_resnet_fedper_summary.json,diabetes,resnet,fedper,44,60.0,20,weighted_ce,none,_architecture_resnet_fedper,,,,,1.0,inf,0.7519071513640252,0.7543725266312811,58.0,0.002465375267255876,0.7001143519316607,0.7472659706810704,0.7543725266312811,58.0,0.3456472069731145,0.3464767740157398,57.0,0.0008295670426252677,0.27664174429323407,0.3387189346850764,0.3464767740157398,57.0,0.33035931556433795,0.33035931556433795,60.0,0.0,0.29007004327140856,0.31873728894846215,0.33035931556433795,60.0,0.3681569955360691,0.37282710843612743,59.0,0.00467011290005831,0.32530577681867745,0.36798363118269684,0.37282710843612743,59.0,0.3186160907349973,0.404063595264334,2.0,0.08544750452933669,0.3360863781429675,0.3293958023033586,0.404063595264334,2.0,0.4547771470869535,0.4984153807285298,29.0,0.04363823364157632,0.4374000956970992,0.45151245741406304,0.4198852161886522,1.0,0.10258779446750058,0.11713320670117627,29.0,0.014545412233675697,0.09915781949199029,0.10187091356600708,0.09622612477179915,1.0,0.061274509803921566,0.1066219614417435,1.0,0.04534745163782194,0.019490380812289966,0.054928996029017255,0.1066219614417435,1.0,1371.9552,1371.9552,0.0021599066170047395,0.0006982461763095245,0.002835036225076135,0.0036076576881530053,0.0026607702299278565,0.003158289998119046,6.018017117430281,11.535761332517723,,
diabetes_resnet_nested_R60_C20_s42_architecture_resnet_nested_summary.json,diabetes,resnet,nested,42,60.0,20,weighted_ce,none,_architecture_resnet_nested,,,,,1.0,inf,0.7124812532479028,0.7712718737376302,59.0,0.058790620489727385,0.706216744655492,0.7441789936003612,0.7712718737376302,59.0,0.28914745006157544,0.36764060470017773,59.0,0.07849315463860229,0.27834741913053784,0.32587983374435076,0.36764060470017773,59.0,0.3024001445415164,0.3486183198527284,59.0,0.04621817531121197,0.2981847612449057,0.3197469432917299,0.3352301587726726,38.0,0.3414765099171158,0.40057239623878693,59.0,0.05909588632167112,0.3333494493287003,0.36991972725473093,0.40057239623878693,59.0,0.32719675477953813,0.3816885784144578,1.0,0.05449182363491967,0.32940653978896883,0.32698170328949494,0.3816885784144578,1.0,0.5837308581330161,0.6509488213780814,12.0,0.06721796324506535,0.5779674157501341,0.5829502496060853,0.6509488213780814,12.0,0.15042557329575024,0.20722849277920058,12.0,0.05680291948345034,0.1563779327848787,0.14358464563449222,0.20722849277920058,12.0,0.2073170731707317,0.22928160048499546,47.0,0.021964527314263765,0.20965712867041522,0.21664478675151283,0.2045002711006687,1.0,1166.32576,1166.32576,0.00720160228508268,0.0041986758460774145,0.002738869101875697,0.0027502979131206933,0.003176147596111638,0.002813875653587641,4.5131560339248,7.735180789313745,,
diabetes_resnet_nested_R60_C20_s43_architecture_resnet_nested_summary.json,diabetes,resnet,nested,43,60.0,20,weighted_ce,none,_architecture_resnet_nested,,,,,1.0,inf,0.7183584248644479,0.7704815210137064,59.0,0.052123096149258474,0.7100955770880433,0.7436497996884779,0.7704815210137064,59.0,0.290374088979791,0.35300558303393265,59.0,0.06263149405414165,0.2715720543154462,0.31597645825722753,0.35300558303393265,59.0,0.29743155988891823,0.33584226063818373,58.0,0.0384107007492655,0.295131420293204,0.3168589679877193,0.33584226063818373,58.0,0.3386883674742502,0.38527754620183635,59.0,0.04658917872758617,0.3330886145465437,0.3614623960345839,0.38527754620183635,59.0,0.3279895264868175,0.3555834566952111,5.0,0.02759393020839357,0.330435665970718,0.3230042320747258,0.3555834566952111,5.0,0.34601084804727267,0.5266832215687528,1.0,0.18067237352148013,0.34362236736973883,0.3441755283783513,0.5266832215687528,1.0,0.08200271286658362,0.12110349799337318,1.0,0.039100785126789564,0.08194058301500817,0.08233582761192551,0.12110349799337318,1.0,0.10589959692194943,0.20408716882177413,2.0,0.0981875718998247,0.13544690393871725,0.11807509274705023,0.20408716882177413,2.0,1166.32576,1166.32576,0.007019682950514274,0.003988251305789042,0.0027966575452406752,0.004165066482785882,0.0032149122027760727,0.004157523557294279,4.639437655957833,11.428588102455251,,
diabetes_resnet_nested_R60_C20_s44_architecture_resnet_nested_summary.json,diabetes,resnet,nested,44,60.0,20,weighted_ce,none,_architecture_resnet_nested,,,,,1.0,inf,0.7192551249626932,0.7757590913283063,59.0,0.05650396636561317,0.7093351606046199,0.7474976231305066,0.7757590913283063,59.0,0.2961079470971776,0.3719382313681259,59.0,0.07583028427094834,0.28476054234080694,0.3271747050121165,0.3719382313681259,59.0,0.30787003284097236,0.34636549279203666,59.0,0.03849545995106429,0.29876280866327054,0.3230423773796326,0.34636549279203666,59.0,0.34060005529053433,0.3971654190550287,59.0,0.05656536376449439,0.3333565617632988,0.3659964200773019,0.3971654190550287,59.0,0.32505024701821816,0.4023396900118917,2.0,0.07728944299367352,0.331139417927603,0.32386620747896,0.4023396900118917,2.0,0.4211465992316021,0.4543427227159985,35.0,0.033196123484396434,0.39505459969449286,0.41286728543160756,0.4246654027528176,8.0,0.09301071248556379,0.10640669476097256,35.0,0.013395982275408766,0.08963599041590382,0.09167274217505064,0.09622612477179915,1.0,0.002564102564102564,0.1066219614417435,1.0,0.10405785887764094,0.003411340986558545,0.00603835554236919,0.1066219614417435,1.0,1166.32576,1166.32576,0.007250250445997262,0.004232211228238107,0.0026577341726615523,0.001963109747917312,0.003117500754237185,0.0020599014962958237,4.454117081227499,5.815184295468498,,
diabetes_transformer_fedavg_R60_C20_s42_architecture_transformer_fedavg_summary.json,diabetes,transformer,fedavg,42,60.0,20,weighted_ce,none,_architecture_transformer_fedavg,,,,,1.0,inf,0.666944133870081,0.6678734530968807,59.0,0.0009293192267997297,0.6580786792490414,0.6661116545600849,0.6678734530968807,59.0,0.22394135184770766,0.2245537678268789,59.0,0.0006124159791712214,0.21793708711801793,0.22154959806414265,0.22314705525374604,27.0,0.2756327925377163,0.28092991809732326,56.0,0.0052971255596069855,0.2683195018641325,0.2751623950195213,0.2660065643756465,4.0,0.29823144908615995,0.3014265128530817,58.0,0.0031950637669217463,0.2900652688135514,0.2984892247929231,0.28711285575424017,9.0,0.3346613107571775,0.35848463719104834,7.0,0.02382332643387086,0.334692319277699,0.33274851823310025,0.35848463719104834,7.0,0.6660670078477746,0.6680513146077778,25.0,0.0019843067600031628,0.665730363366698,0.666106336574589,0.666939671623014,4.0,0.2173169809588486,0.2199969633382689,29.0,0.002679982379420298,0.2144000280904227,0.21639480236154074,0.2199969633382689,29.0,0.27839351686330593,0.28232949512843225,16.0,0.003935978265126316,0.27812816638768384,0.2778922598798438,0.28232949512843225,16.0,743.7408,743.7408,0.009415001696779413,0.003000325572246625,0.0019242829192178108,0.002589403755342581,0.002044425010095811,0.0026216607469180054,3.5589714118226965,5.859589925554246,0.003134591744950153,0.0035392769305083245
diabetes_transformer_fedavg_R60_C20_s43_architecture_transformer_fedavg_summary.json,diabetes,transformer,fedavg,43,60.0,20,weighted_ce,none,_architecture_transformer_fedavg,,,,,1.0,inf,0.6738944363582547,0.6753012739019684,56.0,0.0014068375437136238,0.6686841309905639,0.6742322404170681,0.6753012739019684,56.0,0.22879006943119942,0.22881594553404744,49.0,2.587610284801589e-05,0.21963893902657972,0.22624045369952156,0.22881594553404744,49.0,0.28052877370531104,0.28052877370531104,60.0,0.0,0.27243521376832797,0.27762065859126794,0.27314563775264794,7.0,0.29760785905665676,0.29888018676472644,58.0,0.001272327708069676,0.29375857108083836,0.29685273660047184,0.2951974229331417,17.0,0.32441060004892464,0.3687985964360985,2.0,0.04438799638717389,0.33471916107364513,0.3318603185475867,0.3687985964360985,2.0,0.6656717001178996,0.6690620600005351,48.0,0.003390359882635585,0.665285795692215,0.6666167202670483,0.6690620600005351,48.0,0.21821767107605192,0.22154952841974102,49.0,0.0033318573436890986,0.2161688771985633,0.21811390322114796,0.21982159601875,17.0,0.276686807653575,0.2820093163792018,32.0,0.0053225087256267845,0.27650645504588167,0.2773461470757731,0.2820093163792018,32.0,743.7408,743.7408,0.012019503835799491,0.0029061209883755375,0.002010973260862813,0.0022601495761275826,0.0021807198868931733,0.0023095771611341322,3.9551371501693153,5.538674466810335,0.0024871738720958865,0.0030580599119044575
diabetes_transformer_fedavg_R60_C20_s44_architecture_transformer_fedavg_summary.json,diabetes,transformer,fedavg,44,60.0,20,weighted_ce,none,_architecture_transformer_fedavg,,,,,1.0,inf,0.6607630314807696,0.6609979990837349,58.0,0.00023496760296526364,0.6536926467281773,0.660218825371457,0.6609979990837349,58.0,0.22787392734042083,0.23162812146048883,59.0,0.0037541941200679996,0.22069609658065675,0.22810454024533083,0.22038056405715803,8.0,0.2681587190781639,0.27133339017654945,55.0,0.0031746710983855397,0.2633093078136645,0.2685278670195073,0.2614474334583428,15.0,0.2904516320682638,0.2934727182984831,57.0,0.0030210862302192942,0.2863328723002939,0.29075663044587047,0.2929741097118969,45.0,0.32917427897528356,0.363370349056735,1.0,0.034196070081451424,0.33375209241880344,0.3325935879819679,0.363370349056735,1.0,0.6611438453799119,0.66391657144561,46.0,0.0027727260656981167,0.6616633360003428,0.6616061433381311,0.6635854541613957,21.0,0.21759940463651617,0.21916755910397306,58.0,0.0015681544674568948,0.21440967388313567,0.21664890928171382,0.21812966304012102,29.0,0.2782957630119202,0.2850757387633474,50.0,0.006779975751427192,0.27705057324939336,0.2784546892400896,0.28202368137782563,8.0,743.7408,743.7408,0.010413227539398832,0.002679122721930218,0.0019331040689989892,0.002128705370008275,0.0020686404421816763,0.0021689133617982127,3.720546171077217,5.209251664906333,0.0030683678722679326,0.004186983902361865
diabetes_transformer_fedper_R60_C20_s42_architecture_transformer_fedper_summary.json,diabetes,transformer,fedper,42,60.0,20,weighted_ce,none,_architecture_transformer_fedper,,,,,1.0,inf,0.6667793616072284,0.6673472543973549,54.0,0.0005678927901264785,0.653276069650693,0.6662769432411225,0.6673472543973549,54.0,0.2309171329717599,0.23314499822564255,52.0,0.0022278652538826604,0.21822847440305104,0.23076590259219878,0.23314499822564255,52.0,0.27435146625311113,0.2821263300090116,58.0,0.007774863755900474,0.2639042317598389,0.2751227325079938,0.2821263300090116,58.0,0.29545466471171833,0.2987899649324004,56.0,0.003335300220682069,0.2881727652991014,0.29660778952403216,0.28898451343288983,13.0,0.3369963047247519,0.41868025684974947,1.0,0.08168395212499757,0.3406053877299005,0.33756375021947416,0.41868025684974947,1.0,0.4091522348389948,0.4091522348389948,60.0,0.0,0.37070713897482055,0.3893313634542596,0.35705526914081287,1.0,0.09133656162391315,0.09183154676732658,58.0,0.0004949851434134234,0.08500566969105115,0.08852641395426382,0.0888176975638335,18.0,0.040709508578075024,0.2045002711006687,1.0,0.16379076252259367,0.08792483495234855,0.048318688568642326,0.2045002711006687,1.0,743.1168,743.1168,0.01182533966973117,0.0033378128026838863,0.0019458955737673448,0.0019123705462492826,0.0020958655246499577,0.002015342901715326,3.6813832944397897,4.691093334258767,,
diabetes_transformer_fedper_R60_C20_s43_architecture_transformer_fedper_summary.json,diabetes,transformer,fedper,43,60.0,20,weighted_ce,none,_architecture_transformer_fedper,,,,,1.0,inf,0.6782285304357775,0.6787953527870618,59.0,0.0005668223512843573,0.6690221951844785,0.6775928609208849,0.6787953527870618,59.0,0.22995168677654884,0.23243800425729608,57.0,0.0024863174807472355,0.21961858419855504,0.2297975086215661,0.2258568810475044,24.0,0.27324355302902703,0.28025740344835187,48.0,0.007013850419324841,0.2688045495291243,0.27479785149683295,0.2766963213375969,14.0,0.3006594259177629,0.30117491537774793,59.0,0.0005154894599850302,0.2946317271606919,0.29888222876804793,0.2973017732896387,19.0,0.3378176685217458,0.37341302245864705,2.0,0.035595353936901275,0.3432528452245086,0.34059736782447475,0.37341302245864705,2.0,0.6669970979141857,0.6690466869221512,46.0,0.00204958900796548,0.6290216709287114,0.6676853085927753,0.6680018195701071,22.0,0.21377845494661551,0.21529855318225838,53.0,0.0015200982356428638,0.18245912528499023,0.21295117712818853,0.21529855318225838,53.0,0.250388487264374,0.2518079757559061,54.0,0.0014194884915320616,0.2217225299129369,0.24719762741817553,0.2518079757559061,54.0,743.1168,743.1168,0.010276187978029394,0.002698020122978728,0.0019702174910887268,0.0021099423860985508,0.002087945117610789,0.002156347772866611,3.504083823237761,4.780623120634118,,
diabetes_transformer_fedper_R60_C20_s44_architecture_transformer_fedper_summary.json,diabetes,transformer,fedper,44,60.0,20,weighted_ce,none,_architecture_transformer_fedper,,,,,1.0,inf,0.6646161827669128,0.6655759548567063,59.0,0.0009597720897934758,0.6544313568985655,0.6641115822840261,0.6655759548567063,59.0,0.24070957787382583,0.24070957787382583,60.0,0.0,0.22695666909588766,0.238156151400808,0.2390999657718028,48.0,0.26951147599032516,0.27473300414294305,43.0,0.005221528152617894,0.26280194726960027,0.2702969997046468,0.27473300414294305,43.0,0.29084110685318654,0.29271323132392163,54.0,0.0018721244707350926,0.28564891487214766,0.29095649152736824,0.2880100686220226,18.0,0.33103671216124214,0.36635322012745963,2.0,0.03531650796621749,0.33692213694816614,0.33257721782504557,0.36635322012745963,2.0,0.6558538624376286,0.6630368423290396,9.0,0.007182979891411034,0.654991949986854,0.6555948543031241,0.6630368423290396,9.0,0.20404235318778421,0.21415528732330988,50.0,0.010112934135525664,0.20238282859750678,0.2072065263644825,0.21217045770801013,9.0,0.24975086239938674,0.25376073088131057,57.0,0.004009868481923834,0.24363813117741748,0.24953349447028886,0.25167217934582875,13.0,743.1168,743.1168,0.011122260602067708,0.0029131591542382795,0.001995001737245385,0.0019363515164696264,0.0021254585765567466,0.0020086750883820236,3.607568743312307,4.525195468770107,,
